Timestamp,Age,Gender,Please select 6 outfit that you prefer the most! (Female),Please select 6 outfit that you prefer the most! (Male)
2022/07/01 2:49:27 pm GMT+8,14 and below,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Sexy Style;Sporty Style,
2022/07/01 2:49:44 pm GMT+8,14 and below,Female,Girl Next Door Style;Hip Hop Style;Indie Style;Kpop Style;Lolita Style;Preppy Style,
2022/07/01 2:50:07 pm GMT+8,14 and below,Female,Artsy Style;Biker Style;Grunge Style;Indie Style;Vintage Style;Y2k Style,
2022/07/01 2:50:33 pm GMT+8,14 and below,Female,Comfy Style;Hip Hop Style;Indie Style;Streetwear Style;Vacation Style;Y2k Style,
2022/07/01 2:50:47 pm GMT+8,15 - 24,Female,Biker Style;Bohemian Style;Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style,
2022/07/01 2:50:49 pm GMT+8,14 and below,Female,Indie Style;Kpop Style;Lolita Style;Preppy Style;Punk Style;Y2k Style,
2022/07/01 2:51:16 pm GMT+8,14 and below,Female,Artsy Style;Comfy Style;Kpop Style;Punk Style;Streetwear Style;Vintage Style,
2022/07/01 2:51:49 pm GMT+8,15 - 24,Female,Casual Style;Classy Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Indie Style,
2022/07/01 2:52:16 pm GMT+8,14 and below,Female,Artsy Style;Kpop Style;Lolita Style;Preppy Style;Vintage Style;Y2k Style,
2022/07/01 2:52:42 pm GMT+8,14 and below,Female,Biker Style;Casual Style;Hip Hop Style;Punk Style;Sporty Style;Streetwear Style,
2022/07/01 2:53:45 pm GMT+8,14 and below,Female,Bohemian Style;Chic Style;Evening Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/01 2:54:17 pm GMT+8,14 and below,Female,Bohemian Style;Casual Style;Sexy Style;Sporty Style;Streetwear Style;Vacation Style,
2022/07/01 2:54:52 pm GMT+8,14 and below,Female,Casual Style;Comfy Style;Hip Hop Style;Indie Style;Streetwear Style;Y2k Style,
2022/07/01 2:55:37 pm GMT+8,14 and below,Female,Artsy Style;Bohemian Style;Indie Style;Vacation Style;Vintage Style;Y2k Style,
2022/07/01 2:56:04 pm GMT+8,14 and below,Female,Artsy Style;Biker Style;Grunge Style;Indie Style;Vintage Style;Y2k Style,
2022/07/01 2:56:47 pm GMT+8,14 and below,Female,Artsy Style;Biker Style;Grunge Style;Indie Style;Vintage Style;Y2k Style,
2022/07/01 3:31:01 pm GMT+8,15 - 24,Male,,Boy Next Door Style;Classy Style;Comfy Style;Indie Style;Streetwear Style;Vintage Style
2022/07/01 3:39:26 pm GMT+8,15 - 24,Female,Casual Style;Girl Next Door Style;Hip Hop Style;Indie Style;Sexy Style;Streetwear Style,
2022/07/01 3:51:51 pm GMT+8,15 - 24,Female,Artsy Style;Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Streetwear Style,
2022/07/01 4:25:36 pm GMT+8,15 - 24,Female,Casual Style;Chic Style;Classy Style;Evening Style;Kpop Style;Vacation Style,
2022/07/01 5:17:25 pm GMT+8,15 - 24,Female,Casual Style;Chic Style;Classy Style;Kpop Style;Sexy Style;Vacation Style,
2022/07/01 5:50:07 pm GMT+8,15 - 24,Female,Grunge Style;Preppy Style;Punk Style;Sexy Style;Streetwear Style;Vintage Style,
2022/07/01 5:55:12 pm GMT+8,15 - 24,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Indie Style;Kpop Style,
2022/07/01 6:17:03 pm GMT+8,15 - 24,Female,Artsy Style;Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Streetwear Style,
2022/07/01 6:36:56 pm GMT+8,15 - 24,Female,Formal Office Style;Hip Hop Style;Indie Style;Kpop Style;Sexy Style;Streetwear Style,
2022/07/01 7:44:09 pm GMT+8,15 - 24,Female,Casual Style;Chic Style;Classy Style;Girl Next Door Style;Kpop Style;Sexy Style,
2022/07/01 10:13:44 pm GMT+8,15 - 24,Female,Artsy Style;Classy Style;Ethnic Style;Girl Next Door Style;Lolita Style;Preppy Style,
2022/07/02 9:49:20 am GMT+8,15 - 24,Female,Comfy Style;Girl Next Door Style;Grunge Style;Hip Hop Style;Kpop Style;Streetwear Style,
2022/07/03 8:17:56 pm GMT+8,15 - 24,Male,,Bohemian Style;Boy Next Door Style;Grunge Style;Indie Style;Sporty Style;Varsity Style
2022/07/04 9:28:01 am GMT+8,15 - 24,Female,Artsy Style;Indie Style;Kpop Style;Lolita Style;Preppy Style;Y2k Style,
2022/07/04 9:28:57 am GMT+8,15 - 24,Female,Biker Style;Comfy Style;Hip Hop Style;Punk Style;Sporty Style;Streetwear Style,
2022/07/04 9:29:26 am GMT+8,15 - 24,Female,Bohemian Style;Ethnic Style;Evening Style;Grunge Style;Vacation Style;Vintage Style,
2022/07/04 9:30:12 am GMT+8,15 - 24,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Sporty Style;Vacation Style,
2022/07/04 9:30:37 am GMT+8,15 - 24,Female,Chic Style;Classy Style;Evening Style;Formal Office Style;Sexy Style;Sporty Style,
2022/07/04 9:30:54 am GMT+8,15 - 24,Female,Casual Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/04 9:31:21 am GMT+8,15 - 24,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Kpop Style;Streetwear Style,
2022/07/04 9:31:46 am GMT+8,15 - 24,Female,Artsy Style;Bohemian Style;Chic Style;Ethnic Style;Vintage Style;Y2k Style,
2022/07/04 9:32:10 am GMT+8,15 - 24,Female,Evening Style;Formal Office Style;Sexy Style;Sporty Style;Vacation Style;Vintage Style,
2022/07/04 9:32:35 am GMT+8,15 - 24,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Sporty Style;Vacation Style,
2022/07/04 9:33:06 am GMT+8,15 - 24,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Sporty Style;Vacation Style,
2022/07/04 9:33:45 am GMT+8,15 - 24,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Indie Style;Vacation Style,
2022/07/04 9:34:13 am GMT+8,15 - 24,Female,Artsy Style;Bohemian Style;Ethnic Style;Grunge Style;Lolita Style;Vintage Style,
2022/07/04 9:34:42 am GMT+8,15 - 24,Female,Biker Style;Hip Hop Style;Indie Style;Kpop Style;Punk Style;Streetwear Style,
2022/07/04 9:35:29 am GMT+8,15 - 24,Female,Artsy Style;Indie Style;Kpop Style;Punk Style;Vintage Style;Y2k Style,
2022/07/04 9:36:02 am GMT+8,15 - 24,Female,Artsy Style;Grunge Style;Indie Style;Kpop Style;Punk Style;Streetwear Style,
2022/07/04 9:36:32 am GMT+8,15 - 24,Female,Grunge Style;Lolita Style;Preppy Style;Punk Style;Vintage Style;Y2k Style,
2022/07/04 9:37:15 am GMT+8,15 - 24,Female,Biker Style;Grunge Style;Lolita Style;Preppy Style;Punk Style;Vintage Style,
2022/07/04 9:37:50 am GMT+8,15 - 24,Female,Biker Style;Casual Style;Hip Hop Style;Punk Style;Sporty Style;Streetwear Style,
2022/07/04 9:38:33 am GMT+8,15 - 24,Female,Chic Style;Classy Style;Evening Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/04 9:39:27 am GMT+8,15 - 24,Female,Casual Style;Classy Style;Comfy Style;Sporty Style;Streetwear Style;Vacation Style,
2022/07/04 9:40:18 am GMT+8,15 - 24,Female,Artsy Style;Biker Style;Casual Style;Hip Hop Style;Punk Style;Streetwear Style,
2022/07/04 9:40:44 am GMT+8,15 - 24,Female,Bohemian Style;Girl Next Door Style;Indie Style;Vacation Style;Vintage Style;Y2k Style,
2022/07/04 9:41:21 am GMT+8,15 - 24,Female,Artsy Style;Bohemian Style;Grunge Style;Vacation Style;Vintage Style;Y2k Style,
2022/07/04 9:41:47 am GMT+8,15 - 24,Female,Casual Style;Hip Hop Style;Indie Style;Kpop Style;Streetwear Style;Y2k Style,
2022/07/04 9:42:57 am GMT+8,25 - 54,Female,Artsy Style;Bohemian Style;Ethnic Style;Evening Style;Streetwear Style;Vintage Style,
2022/07/04 9:43:42 am GMT+8,25 - 54,Female,Biker Style;Casual Style;Comfy Style;Hip Hop Style;Punk Style;Streetwear Style,
