Timestamp,Age,Gender,Please select 6 outfit that you prefer the most! (Female),Please select 6 outfit that you prefer the most! (Male)
2022/07/05 10:15:04 am GMT+8,25 - 54,Male,,Grunge Style;Indie Style;Ivy Style;Preppy Style;Rugged Style;Vintage Style
2022/07/05 10:15:26 am GMT+8,25 - 54,Male,,Casual Style;Comfy Style;Grunge Style;Hip Hop Style;Rugged Style;Streetwear Style
2022/07/05 10:16:30 am GMT+8,25 - 54,Male,,Classy Style;Formal Office Style;Ivy Style;Preppy Style;Rugged Style;Vintage Style
2022/07/05 10:16:56 am GMT+8,25 - 54,Male,,Casual Style;Comfy Style;Grunge Style;Ivy Style;Preppy Style;Vacation Style
2022/07/05 10:17:32 am GMT+8,25 - 54,Male,,Biker Style;Bohemian Style;Casual Style;Punk Style;Streetwear Style;Vintage Style
2022/07/05 10:23:23 am GMT+8,55 - 64,Male,,Artsy Style;Bohemian Style;Casual Style;Comfy Style;Ethnic Style;Vintage Style
2022/07/05 10:23:36 am GMT+8,55 - 64,Male,,Biker Style;Chic Style;Classy Style;Hip Hop Style;Punk Style;Streetwear Style
2022/07/05 10:24:04 am GMT+8,55 - 64,Male,,Bohemian Style;Boy Next Door Style;Casual Style;Classy Style;Ethnic Style;Vacation Style
2022/07/05 10:24:26 am GMT+8,55 - 64,Male,,Boy Next Door Style;Casual Style;Classy Style;Comfy Style;Formal Office Style;Preppy Style
2022/07/05 10:24:43 am GMT+8,25 - 54,Male,,Casual Style;Classy Style;Evening Style;Formal Office Style;Ivy Style;Preppy Style
2022/07/05 10:25:35 am GMT+8,55 - 64,Male,,Casual Style;Comfy Style;Formal Office Style;Preppy Style;Sporty Style;Vacation Style
2022/07/05 10:25:59 am GMT+8,55 - 64,Male,,Chic Style;Classy Style;Evening Style;Formal Office Style;Ivy Style;Rugged Style
2022/07/05 10:26:34 am GMT+8,55 - 64,Male,,Casual Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Preppy Style
2022/07/05 10:26:53 am GMT+8,55 - 64,Male,,Casual Style;Comfy Style;Formal Office Style;Preppy Style;Sporty Style;Vacation Style
2022/07/05 10:27:18 am GMT+8,55 - 64,Male,,Chic Style;Classy Style;Evening Style;Formal Office Style;Ivy Style;Preppy Style
2022/07/05 10:27:41 am GMT+8,55 - 64,Male,,Bohemian Style;Casual Style;Comfy Style;Formal Office Style;Sporty Style;Vacation Style
2022/07/05 10:28:05 am GMT+8,55 - 64,Male,,Bohemian Style;Casual Style;Ethnic Style;Ivy Style;Preppy Style;Vintage Style
2022/07/05 10:29:01 am GMT+8,55 - 64,Male,,Biker Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Ivy Style
2022/07/05 10:29:49 am GMT+8,55 - 64,Male,,Casual Style;Formal Office Style;Ivy Style;Preppy Style;Rugged Style;Vacation Style
2022/07/05 10:30:13 am GMT+8,55 - 64,Male,,Biker Style;Bohemian Style;Grunge Style;Ivy Style;Rugged Style;Vacation Style
2022/07/05 10:30:53 am GMT+8,55 - 64,Male,,Casual Style;Comfy Style;Hip Hop Style;Rugged Style;Sporty Style;Varsity Style
2022/07/05 10:31:37 am GMT+8,55 - 64,Male,,Casual Style;Indie Style;Ivy Style;Preppy Style;Rugged Style;Vintage Style
2022/07/05 10:31:58 am GMT+8,55 - 64,Male,,Classy Style;Evening Style;Formal Office Style;Ivy Style;Preppy Style;Rugged Style
2022/07/05 10:32:22 am GMT+8,55 - 64,Male,,Biker Style;Bohemian Style;Casual Style;Formal Office Style;Ivy Style;Preppy Style
2022/07/05 10:33:19 am GMT+8,55 - 64,Male,,Classy Style;Grunge Style;Ivy Style;Preppy Style;Rugged Style;Vacation Style
2022/07/05 10:33:40 am GMT+8,55 - 64,Male,,Biker Style;Chic Style;Punk Style;Rugged Style;Streetwear Style;Vintage Style
2022/07/05 10:34:32 am GMT+8,55 - 64,Male,,Bohemian Style;Formal Office Style;Grunge Style;Ivy Style;Rugged Style;Sporty Style
2022/07/05 10:37:00 am GMT+8,55 - 64,Male,,Artsy Style;Biker Style;Chic Style;Hip Hop Style;Streetwear Style;Vintage Style
2022/07/05 10:37:29 am GMT+8,55 - 64,Male,,Artsy Style;Bohemian Style;Casual Style;Comfy Style;Preppy Style;Vacation Style
2022/07/05 10:40:31 am GMT+8,55 - 64,Male,,Boy Next Door Style;Comfy Style;Hip Hop Style;Rugged Style;Sporty Style;Varsity Style
2022/07/05 10:40:48 am GMT+8,55 - 64,Male,,Grunge Style;Indie Style;Ivy Style;Preppy Style;Rugged Style;Vintage Style
2022/07/05 10:41:15 am GMT+8,55 - 64,Male,,Artsy Style;Bohemian Style;Hip Hop Style;Vacation Style;Vintage Style;Y2k Style
2022/07/05 10:41:43 am GMT+8,65 and above,Male,,Artsy Style;Bohemian Style;Chic Style;Classy Style;Ethnic Style;Vintage Style
2022/07/05 10:42:07 am GMT+8,65 and above,Male,,Biker Style;Casual Style;Chic Style;Evening Style;Formal Office Style;Punk Style
2022/07/05 10:42:37 am GMT+8,65 and above,Male,,Artsy Style;Bohemian Style;Chic Style;Ethnic Style;Indie Style;Vacation Style
2022/07/05 10:43:07 am GMT+8,65 and above,Male,,Boy Next Door Style;Casual Style;Classy Style;Indie Style;Ivy Style;Preppy Style
2022/07/05 10:43:36 am GMT+8,65 and above,Male,,Casual Style;Chic Style;Classy Style;Comfy Style;Formal Office Style;Vacation Style
2022/07/05 10:44:12 am GMT+8,65 and above,Male,,Chic Style;Classy Style;Evening Style;Formal Office Style;Ivy Style;Vintage Style
2022/07/05 10:44:44 am GMT+8,65 and above,Male,,Artsy Style;Chic Style;Classy Style;Formal Office Style;Ivy Style;Preppy Style
2022/07/05 10:45:41 am GMT+8,65 and above,Male,,Bohemian Style;Casual Style;Comfy Style;Formal Office Style;Ivy Style;Preppy Style
2022/07/05 10:45:59 am GMT+8,65 and above,Male,,Artsy Style;Bohemian Style;Ethnic Style;Evening Style;Formal Office Style;Ivy Style
2022/07/05 10:46:20 am GMT+8,65 and above,Male,,Chic Style;Classy Style;Evening Style;Formal Office Style;Ivy Style;Preppy Style
2022/07/05 10:46:46 am GMT+8,65 and above,Male,,Casual Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Ivy Style
2022/07/05 10:47:23 am GMT+8,65 and above,Male,,Bohemian Style;Grunge Style;Indie Style;Rugged Style;Vacation Style;Vintage Style
2022/07/05 10:47:46 am GMT+8,65 and above,Male,,Hip Hop Style;Preppy Style;Rugged Style;Sporty Style;Streetwear Style;Varsity Style
2022/07/05 10:48:04 am GMT+8,65 and above,Male,,Bohemian Style;Grunge Style;Indie Style;Ivy Style;Preppy Style;Vintage Style
2022/07/05 10:48:28 am GMT+8,65 and above,Male,,Biker Style;Grunge Style;Ivy Style;Preppy Style;Rugged Style;Vacation Style
2022/07/05 10:49:22 am GMT+8,65 and above,Male,,Bohemian Style;Casual Style;Indie Style;Ivy Style;Preppy Style;Vacation Style
2022/07/05 10:50:08 am GMT+8,65 and above,Male,,Artsy Style;Biker Style;Chic Style;Punk Style;Streetwear Style;Vintage Style
2022/07/05 10:50:57 am GMT+8,65 and above,Male,,Grunge Style;Ivy Style;Rugged Style;Sporty Style;Vacation Style;Varsity Style
2022/07/05 10:51:57 am GMT+8,65 and above,Male,,Casual Style;Comfy Style;Formal Office Style;Rugged Style;Sporty Style;Vacation Style
2022/07/05 10:52:22 am GMT+8,65 and above,Male,,Artsy Style;Biker Style;Chic Style;Punk Style;Streetwear Style;Vintage Style
2022/07/05 10:53:11 am GMT+8,65 and above,Male,,Bohemian Style;Casual Style;Preppy Style;Rugged Style;Sporty Style;Vacation Style
2022/07/05 10:53:44 am GMT+8,65 and above,Male,,Boy Next Door Style;Casual Style;Comfy Style;Grunge Style;Hip Hop Style;Varsity Style
2022/07/05 10:55:29 am GMT+8,65 and above,Male,,Classy Style;Grunge Style;Indie Style;Ivy Style;Rugged Style;Vintage Style
2022/07/05 10:55:49 am GMT+8,65 and above,Male,,Artsy Style;Bohemian Style;Hip Hop Style;Indie Style;Vintage Style;Y2k Style
2022/07/05 10:56:57 am GMT+8,14 and below,Female,Artsy Style;Girl Next Door Style;Hip Hop Style;Indie Style;Kpop Style;Preppy Style,
2022/07/05 10:57:14 am GMT+8,14 and below,Male,,Boy Next Door Style;Casual Style;Comfy Style;Grunge Style;Indie Style;Sporty Style
2022/07/05 10:57:43 am GMT+8,14 and below,Male,,Boy Next Door Style;Casual Style;Comfy Style;Grunge Style;Indie Style;Vacation Style
2022/07/05 10:58:06 am GMT+8,14 and below,Male,,Casual Style;Comfy Style;Indie Style;Sporty Style;Vacation Style;Varsity Style
2022/07/05 10:58:35 am GMT+8,14 and below,Male,,Boy Next Door Style;Casual Style;Comfy Style;Hip Hop Style;Sporty Style;Varsity Style
2022/07/05 10:59:46 am GMT+8,14 and below,Male,,Artsy Style;Bohemian Style;Casual Style;Comfy Style;Hip Hop Style;Vacation Style
2022/07/05 11:00:33 am GMT+8,14 and below,Male,,Artsy Style;Bohemian Style;Hip Hop Style;Streetwear Style;Vintage Style;Y2k Style
2022/07/05 12:21:09 pm GMT+8,14 and below,Male,,Artsy Style;Bohemian Style;Boy Next Door Style;Comfy Style;Preppy Style;Vacation Style
2022/07/05 12:42:37 pm GMT+8,14 and below,Male,,Casual Style;Comfy Style;Grunge Style;Indie Style;Preppy Style;Sporty Style
2022/07/05 12:43:13 pm GMT+8,14 and below,Male,,Artsy Style;Hip Hop Style;Indie Style;Vacation Style;Vintage Style;Y2k Style
2022/07/05 12:45:07 pm GMT+8,14 and below,Male,,Artsy Style;Bohemian Style;Hip Hop Style;Indie Style;Vintage Style;Y2k Style
2022/07/05 12:45:28 pm GMT+8,14 and below,Male,,Biker Style;Hip Hop Style;Punk Style;Rugged Style;Streetwear Style;Varsity Style
2022/07/05 12:46:40 pm GMT+8,14 and below,Male,,Artsy Style;Bohemian Style;Boy Next Door Style;Indie Style;Sporty Style;Vacation Style
2022/07/05 12:47:20 pm GMT+8,14 and below,Male,,Casual Style;Comfy Style;Grunge Style;Sporty Style;Vacation Style;Varsity Style
2022/07/05 12:47:45 pm GMT+8,14 and below,Male,,Bohemian Style;Boy Next Door Style;Casual Style;Comfy Style;Sporty Style;Vacation Style
2022/07/05 12:48:04 pm GMT+8,14 and below,Male,,Boy Next Door Style;Casual Style;Comfy Style;Preppy Style;Sporty Style;Vacation Style
2022/07/05 12:48:48 pm GMT+8,14 and below,Male,,Casual Style;Chic Style;Classy Style;Hip Hop Style;Preppy Style;Streetwear Style
2022/07/05 12:50:52 pm GMT+8,14 and below,Male,,Casual Style;Chic Style;Classy Style;Ivy Style;Preppy Style;Vintage Style
2022/07/05 12:51:17 pm GMT+8,14 and below,Male,,Bohemian Style;Boy Next Door Style;Casual Style;Comfy Style;Sporty Style;Vacation Style
2022/07/05 12:51:56 pm GMT+8,14 and below,Male,,Artsy Style;Bohemian Style;Ethnic Style;Grunge Style;Vacation Style;Vintage Style
2022/07/05 12:53:24 pm GMT+8,14 and below,Male,,Casual Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Vintage Style
2022/07/05 12:54:10 pm GMT+8,14 and below,Male,,Casual Style;Classy Style;Comfy Style;Formal Office Style;Preppy Style;Vacation Style
2022/07/05 12:57:08 pm GMT+8,14 and below,Male,,Boy Next Door Style;Casual Style;Grunge Style;Indie Style;Vacation Style;Vintage Style
2022/07/05 12:57:48 pm GMT+8,14 and below,Male,,Biker Style;Casual Style;Comfy Style;Hip Hop Style;Streetwear Style;Varsity Style
2022/07/05 12:58:29 pm GMT+8,14 and below,Male,,Casual Style;Indie Style;Preppy Style;Sporty Style;Vacation Style;Vintage Style
2022/07/05 12:59:33 pm GMT+8,14 and below,Male,,Biker Style;Indie Style;Ivy Style;Preppy Style;Rugged Style;Vintage Style
2022/07/05 3:21:15 pm GMT+8,14 and below,Female,Artsy Style;Comfy Style;Girl Next Door Style;Indie Style;Kpop Style;Vacation Style,
2022/07/05 3:21:50 pm GMT+8,14 and below,Female,Casual Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/05 3:31:01 pm GMT+8,65 and above,Male,,Chic Style;Classy Style;Evening Style;Formal Office Style;Ivy Style;Rugged Style
2022/07/05 3:31:23 pm GMT+8,65 and above,Male,,Bohemian Style;Casual Style;Ethnic Style;Rugged Style;Vacation Style;Vintage Style
2022/07/05 3:31:37 pm GMT+8,65 and above,Male,,Chic Style;Classy Style;Ethnic Style;Evening Style;Formal Office Style;Ivy Style
2022/07/05 3:33:39 pm GMT+8,55 - 64,Female,Casual Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/05 3:34:05 pm GMT+8,55 - 64,Female,Artsy Style;Bohemian Style;Chic Style;Ethnic Style;Vacation Style;Vintage Style,
2022/07/05 3:34:47 pm GMT+8,55 - 64,Female,Artsy Style;Girl Next Door Style;Grunge Style;Indie Style;Streetwear Style;Vintage Style,
2022/07/05 3:35:12 pm GMT+8,55 - 64,Female,Biker Style;Casual Style;Classy Style;Evening Style;Punk Style;Sexy Style,
2022/07/05 3:35:33 pm GMT+8,55 - 64,Female,Casual Style;Comfy Style;Hip Hop Style;Sporty Style;Streetwear Style;Vacation Style,
2022/07/05 3:35:55 pm GMT+8,55 - 64,Female,Artsy Style;Indie Style;Kpop Style;Lolita Style;Preppy Style;Vintage Style,
2022/07/05 3:36:09 pm GMT+8,55 - 64,Female,Chic Style;Classy Style;Comfy Style;Evening Style;Formal Office Style;Girl Next Door Style,
2022/07/05 3:36:34 pm GMT+8,55 - 64,Female,Biker Style;Casual Style;Comfy Style;Hip Hop Style;Sporty Style;Streetwear Style,
2022/07/05 3:36:54 pm GMT+8,55 - 64,Female,Bohemian Style;Girl Next Door Style;Kpop Style;Vacation Style;Vintage Style;Y2k Style,
2022/07/05 3:37:19 pm GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Ethnic Style;Evening Style;Vacation Style;Vintage Style,
2022/07/05 3:37:53 pm GMT+8,65 and above,Female,Biker Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/05 3:38:13 pm GMT+8,65 and above,Female,Artsy Style;Comfy Style;Ethnic Style;Girl Next Door Style;Vacation Style;Vintage Style,
2022/07/05 3:40:05 pm GMT+8,65 and above,Female,Biker Style;Casual Style;Comfy Style;Hip Hop Style;Punk Style;Streetwear Style,
2022/07/05 3:40:33 pm GMT+8,65 and above,Female,Bohemian Style;Chic Style;Classy Style;Ethnic Style;Evening Style;Vintage Style,
2022/07/05 3:41:26 pm GMT+8,65 and above,Female,Chic Style;Classy Style;Formal Office Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/05 3:42:39 pm GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Casual Style;Comfy Style;Vacation Style;Vintage Style,
2022/07/05 3:43:07 pm GMT+8,65 and above,Female,Artsy Style;Casual Style;Girl Next Door Style;Indie Style;Kpop Style;Vintage Style,
2022/07/05 3:43:32 pm GMT+8,65 and above,Female,Casual Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/05 3:43:54 pm GMT+8,65 and above,Female,Chic Style;Comfy Style;Formal Office Style;Girl Next Door Style;Sporty Style;Vacation Style,
2022/07/05 3:44:27 pm GMT+8,65 and above,Female,Biker Style;Casual Style;Comfy Style;Hip Hop Style;Punk Style;Streetwear Style,
2022/07/05 3:45:03 pm GMT+8,65 and above,Female,Grunge Style;Indie Style;Kpop Style;Lolita Style;Preppy Style;Y2k Style,
2022/07/05 3:45:22 pm GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Girl Next Door Style;Indie Style;Kpop Style;Vintage Style,
2022/07/05 3:45:37 pm GMT+8,65 and above,Female,Biker Style;Casual Style;Chic Style;Classy Style;Formal Office Style;Sexy Style,
2022/07/05 3:45:55 pm GMT+8,65 and above,Female,Casual Style;Chic Style;Comfy Style;Girl Next Door Style;Sporty Style;Vacation Style,
2022/07/05 3:47:29 pm GMT+8,65 and above,Female,Chic Style;Classy Style;Ethnic Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/05 3:48:19 pm GMT+8,65 and above,Female,Bohemian Style;Indie Style;Kpop Style;Preppy Style;Vacation Style;Vintage Style,
2022/07/05 3:49:01 pm GMT+8,65 and above,Female,Casual Style;Chic Style;Classy Style;Evening Style;Formal Office Style;Girl Next Door Style,
2022/07/05 3:49:46 pm GMT+8,65 and above,Female,Biker Style;Casual Style;Comfy Style;Hip Hop Style;Sporty Style;Streetwear Style,
2022/07/05 3:50:47 pm GMT+8,65 and above,Female,Biker Style;Classy Style;Hip Hop Style;Sexy Style;Sporty Style;Streetwear Style,
2022/07/05 3:51:10 pm GMT+8,65 and above,Female,Bohemian Style;Grunge Style;Indie Style;Kpop Style;Lolita Style;Preppy Style,
2022/07/05 3:51:44 pm GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Girl Next Door Style;Indie Style;Vintage Style;Y2k Style,
2022/07/05 3:52:55 pm GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Casual Style;Sporty Style;Vacation Style;Vintage Style,
2022/07/05 3:53:47 pm GMT+8,65 and above,Female,Casual Style;Chic Style;Classy Style;Comfy Style;Sexy Style;Sporty Style,
2022/07/05 3:54:33 pm GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Casual Style;Girl Next Door Style;Vacation Style;Vintage Style,
