Gender,Please choose 6  courses that you will choose /  interest you / have chosen,Business & Financial Technology (SIT),Information Technology (SIT),Infocomm & Security (SIT),Cybersecurity  & Digital Forensics (SIT),Business Intelligence & Analytics (SIT),Common ICT Programme (SIT),Experiential Product & Interior Design (SDM),Animation & Visual Effects (SDM),Architecture  (SDM),Interaction Design (SDM),Digital Game Art & Design (SDM),Visual Communication (SDM),Motion Graphics Design (SDM),Game Development & Technology (SDM),Applied Chemistry (SAS),Biologics & Process Technology (SAS),Chemical & Pharmaceutical Technology (SAS),Food Science & Nutrition (SAS),Pharmaceutical Science (SAS),Accountancy & Finance (SBM),Banking & Finance (SBM),Business Management (SBM),Food & Beverage Business (SBM),Hospitality & Tourism Management (SBM),Mass Media Management (SBM),Sport & Wellness Management (SBM),Common Business Programme (SBM),Advanced & Digital Manufacturing (SEG),Aeronautical & Aerospace Technology (SEG),Aerospace Systems & Management (SEG),AI & Data Engineering (SEG),Biomedical Engineering (SEG),Electronic & Computer Engineering (SEG),Engineering with Business (SEG),Infocomm & Media Engineering (SEG),Nanotechnology & Materials Science (SEG),Robotics & Mechatronics (SEG),Common Engineering Programme (SEG),Nursing (SHSS),Oral Health Therapy (SHSS),Social Work (SHSS),sum
Female,"Animation & Visual Effects (SDM), Food & Beverage Business (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM), Sport & Wellness Management (SBM), Engineering with Business (SEG)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
Male,"Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Common Business Programme (SBM), Infocomm & Media Engineering (SEG), Nursing (SHSS)",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6
Female,"Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Aerospace Systems & Management (SEG), Infocomm & Media Engineering (SEG)",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Aerospace Systems & Management (SEG), Biomedical Engineering (SEG), Nursing (SHSS), Social Work (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,6
Female,"Business & Financial Technology (SIT), Common ICT Programme (SIT), Architecture  (SDM), Mass Media Management (SBM), Sport & Wellness Management (SBM), Social Work (SHSS)",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Male,"Business & Financial Technology (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), AI & Data Engineering (SEG), Electronic & Computer Engineering (SEG), Social Work (SHSS)",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
Male,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT), Sport & Wellness Management (SBM), Biomedical Engineering (SEG), Common Engineering Programme (SEG)",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6
Female,"Business & Financial Technology (SIT), Information Technology (SIT), Cybersecurity  & Digital Forensics (SIT), Business Intelligence & Analytics (SIT), Visual Communication (SDM), Game Development & Technology (SDM)",1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Business Management (SBM), Food & Beverage Business (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM), Common Business Programme (SBM), Social Work (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Male,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Game Development & Technology (SDM)",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
